timestamp,open,high,low,close,volume
1751107800000,147.0,147.0,146.8,146.98,6590.845
1751108100000,146.98,147.04,146.9,146.95,5727.018
1751108400000,146.95,147.24,146.95,147.1,10520.081
1751108700000,147.09,147.13,146.95,147.05,11718.407
1751109000000,147.05,147.24,146.99,147.21,9493.261
1751109300000,147.2,147.43,147.11,147.35,25698.93
1751109600000,147.36,147.62,147.31,147.38,57095.749
1751109900000,147.39,147.59,147.35,147.37,30237.889
1751110200000,147.37,147.45,147.25,147.25,6407.033
1751110500000,147.25,147.4,147.2,147.39,5124.182
1751110800000,147.39,147.41,147.28,147.36,5864.587
1751111100000,147.36,147.45,147.36,147.44,6803.945
1751111400000,147.44,147.47,147.12,147.25,6745.241
1751111700000,147.25,147.26,147.12,147.15,3268.927
1751112000000,147.14,147.24,147.09,147.19,6373.307
1751112300000,147.2,147.24,147.16,147.19,4025.2
1751112600000,147.19,147.34,147.09,147.13,3904.605
1751112900000,147.14,147.15,146.82,146.87,6302.598
1751113200000,146.87,146.92,146.7,146.71,5540.298
1751113500000,146.72,146.85,146.7,146.72,4313.949
1751113800000,146.72,146.98,146.72,146.87,6117.44
1751114100000,146.86,146.87,146.72,146.85,2131.241
1751114400000,146.85,146.86,146.62,146.64,3395.652
1751114700000,146.64,146.72,146.52,146.63,6053.587
1751115000000,146.63,146.92,146.62,146.62,4189.812
1751115300000,146.63,146.63,146.39,146.44,10087.993
1751115600000,146.44,146.65,146.44,146.65,2398.335
1751115900000,146.64,146.84,146.61,146.68,7928.719
1751116200000,146.68,146.77,146.63,146.65,2271.8
1751116500000,146.65,146.7,146.41,146.44,5616.43
1751116800000,146.44,146.52,146.29,146.35,12759.989
1751117100000,146.35,146.38,146.01,146.07,13535.602
1751117400000,146.07,146.08,145.87,145.9,10926.765
1751117700000,145.89,146.21,145.89,146.19,6362.022
1751118000000,146.19,146.3,146.18,146.27,3143.552
1751118300000,146.27,146.37,146.11,146.12,3936.475
1751118600000,146.12,146.17,146.11,146.11,2467.623
1751118900000,146.12,146.16,146.01,146.14,5626.439
1751119200000,146.13,146.29,146.13,146.26,3009.596
1751119500000,146.26,146.37,146.25,146.36,3068.593
1751119800000,146.36,146.58,146.36,146.41,7731.241
1751120100000,146.41,146.57,146.41,146.52,3655.108
1751120400000,146.53,147.12,146.52,147.01,12379.935
1751120700000,147.01,147.11,146.77,146.89,7461.791
1751121000000,146.89,147.1,146.66,146.73,12882.55
1751121300000,146.72,147.01,146.7,146.86,4866.661
1751121600000,146.86,146.92,146.8,146.9,2559.356
1751121900000,146.9,146.95,146.78,146.78,3716.131
1751122200000,146.77,146.96,146.67,146.94,10363.791
1751122500000,146.93,146.97,146.8,146.84,3607.496
1751122800000,146.85,147.31,146.85,147.29,6206.355
1751123100000,147.3,147.32,146.97,147.0,3915.774
1751123400000,147.0,147.12,146.92,146.94,3996.667
1751123700000,146.94,147.11,146.91,146.92,2999.942
1751124000000,146.92,146.92,146.75,146.84,14931.138
1751124300000,146.83,146.89,146.77,146.85,3854.099
1751124600000,146.86,147.08,146.85,147.05,3240.08
1751124900000,147.05,147.15,147.01,147.08,2537.167
1751125200000,147.09,147.76,147.08,147.46,14483.594
1751125500000,147.46,147.62,147.09,147.29,5620.984
1751125800000,147.29,147.45,147.2,147.23,6804.409
1751126100000,147.24,148.67,147.2,148.17,72809.238
1751126400000,148.16,148.82,148.1,148.48,33661.101
1751126700000,148.48,149.8,148.48,149.24,59706.473
1751127000000,149.24,149.37,148.7,149.25,54251.423
1751127300000,149.26,149.71,148.75,149.45,51685.044
1751127600000,149.45,149.46,149.03,149.13,13266.109
1751127900000,149.13,149.38,148.89,149.36,16025.324
1751128200000,149.36,149.79,149.36,149.48,15190.124
1751128500000,149.47,149.75,149.38,149.42,8723.701
1751128800000,149.42,149.52,149.04,149.39,11680.631
1751129100000,149.39,149.43,149.14,149.17,6949.775
1751129400000,149.16,149.45,149.0,149.11,10796.468
1751129700000,149.11,149.19,149.0,149.16,11011.411
1751130000000,149.16,149.38,149.09,149.34,9153.295
1751130300000,149.35,149.78,149.3,149.7,10766.889
1751130600000,149.7,149.76,149.6,149.73,7829.678
1751130900000,149.73,149.77,149.52,149.6,6323.773
1751131200000,149.6,149.99,149.39,149.93,13409.875
1751131500000,149.92,149.97,149.45,149.64,8059.652
1751131800000,149.63,149.9,149.36,149.86,10107.488
1751132100000,149.86,150.52,149.76,150.26,31145.586
1751132400000,150.25,150.9,150.22,150.59,20216.947
1751132700000,150.6,151.92,150.51,151.66,39596.406
1751133000000,151.67,152.7,151.52,152.3,55685.172
1751133300000,152.3,152.41,152.01,152.17,20951.004
1751133600000,152.16,152.29,151.36,151.46,25296.185
1751133900000,151.45,151.6,151.16,151.32,11552.435
1751134200000,151.31,151.42,151.04,151.19,11901.68
1751134500000,151.18,151.37,151.15,151.31,8008.969
1751134800000,151.31,151.31,150.72,150.76,10430.759
1751135100000,150.75,150.96,150.52,150.69,9348.024
1751135400000,150.69,150.95,150.54,150.76,7912.395
1751135700000,150.76,150.82,150.66,150.74,5515.73
1751136000000,150.73,150.78,150.55,150.6,4762.145
1751136300000,150.6,150.66,150.38,150.61,7054.78
1751136600000,150.6,150.87,150.57,150.84,7516.852
